Account,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
85773,15,64987.0,140,77,1,1,1200.0
548849,15,89071.0,2,84,31,20,1184.0
447344,15,178443.0,159,24,11,39,2800.0
301641,15,63532.0,104,78,17,7,1200.0
25503,15,132782.0,108,57,43,1,0.0
985182,15,138193.0,147,98,25,37,1200.0
567728,15,2784175.0,5,52,38,37,1200.0
78568,0,222501.0,97,95,43,38,1200.0
310228,15,50650.0,175,59,32,37,0.0
892775,15,143352.0,185,102,4,39,1200.0
714338,15,66942.0,185,118,4,36,0.0
273392,15,37040.0,185,27,4,36,1200.0
714296,1,409211.0,49,32,9,37,859.0
417551,15,217588.0,163,86,5,37,2400.0
712832,15,195919.0,16,96,35,37,600.0
646863,15,2316.0,185,97,4,52,0.0
481026,15,367693.0,87,41,24,1,3546.0
723197,1,88108.0,42,106,17,38,1200.0
717716,15,91655.0,94,7,43,38,1200.0
595923,15,871932.0,159,24,11,39,1200.0
250602,15,156399.0,25,107,10,2,0.0
250268,1,369171.0,196,0,4,36,1200.0
561397,15,116966.0,2,19,34,21,1200.0
341548,15,145720.0,101,68,18,1,1200.0
619759,15,191296.0,142,37,2,38,1200.0
250393,15,170613.0,182,27,4,36,1200.0
129395,15,131507.0,137,74,12,38,2400.0
56069,15,157101.0,137,74,12,38,1018.0
572187,2,501316.0,92,31,16,39,1200.0
969986,1,181993.0,87,101,14,1,1183.0
638399,15,131027.0,177,79,44,39,1200.0
255769,15,98148.0,65,12,40,2,1200.0
732266,15,805724.0,94,7,43,2,4725.0
441345,15,206728.0,153,10,28,38,0.0
415522,15,21920.0,29,32,9,37,0.0
754875,15,112453.0,154,10,41,46,7.0
614284,15,1185.0,185,118,4,37,1200.0
285226,3,228491.0,113,15,43,1,0.0
679936,15,89144.0,60,89,9,1,1200.0
388062,15,92684.0,120,87,36,34,0.0
309584,0,57441.0,191,17,47,39,1190.0
