,Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
4126,416461,732288,1,0.0,1,4469.0,1,1,0,0,735274,1,736626,735285,1,1,0,1,0,1.0,138.2,1,361413.0,0,0,1,1,0,5,2,7,0,3,0,38,55,0,3,3,164,0,1
4127,716533,736595,0,2500.0,0,400.0,0,0,1,0,736628,0,720624,720624,0,1,0,1,1,1.0,2126.66,0,-14700.0,5,4,0,0,1,17,2,16,0,0,0,6,106,0,6,8,42,2,15
4128,720268,734990,0,0.0,0,1200.0,0,0,0,0,720624,1,736605,735547,1,0,0,0,0,0.0,0.0,0,155165.0,5,3,0,0,0,17,6,16,0,0,0,38,106,0,1,2,42,0,15
4129,760703,736483,0,2500.0,0,0.0,0,0,0,1,736483,1,736548,736535,1,1,0,0,0,0.0,0.0,0,186365.0,5,0,0,0,0,5,2,7,0,3,0,37,55,0,1,3,164,3,4
4130,340755,736000,0,1230.0,1,1200.0,0,0,0,0,736002,1,736620,735250,0,0,0,1,0,6.0,6370.07,0,138996.0,5,3,1,0,0,32,2,18,0,3,0,39,59,0,4,3,181,1,3
4131,724203,734990,0,0.0,0,1200.0,0,0,0,0,736157,1,736605,735547,1,0,0,1,0,1.0,169.88,0,299728.0,5,3,0,0,0,17,2,16,0,0,0,38,106,0,3,2,42,0,15
4132,395282,735998,1,610.03,1,1200.0,0,0,0,0,720624,0,720624,735589,0,1,0,0,0,0.0,0.0,0,21123.0,5,0,1,0,0,32,2,18,1,3,0,39,59,0,4,8,181,0,0
4133,803309,734990,0,0.0,0,1200.0,0,0,0,0,720624,1,736605,735547,1,0,0,0,0,0.0,0.0,0,117821.0,5,3,0,0,0,17,6,16,0,0,0,38,106,0,4,2,42,0,15
4134,18848,734164,0,601.0,1,0.0,0,0,0,1,735318,1,736627,735331,1,1,0,1,0,2.0,377.76,0,180462.0,0,0,1,1,0,10,2,13,0,2,1,2,107,1,1,7,25,3,15
4135,19522,734164,0,0.0,1,75.0,1,1,0,0,735414,1,736627,735331,1,1,0,1,0,2.0,334.8,0,139272.0,0,0,1,1,0,10,2,13,0,2,1,2,107,1,3,7,25,1,15
