,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
89,15,95293.0,185,4,4,36,1200.0
162,15,894213.0,131,6,36,34,400.0
484,15,137486.0,2,11,6,37,0.0
257,15,31574.0,6,8,22,36,0.0
3506,15,273381.0,25,93,10,2,1200.0
4274,15,43069.0,30,109,17,6,4524.0
4733,15,26153.0,6,119,22,38,1200.0
1893,3,378202.0,9,53,38,39,1200.0
4443,15,254550.0,15,113,34,37,1200.0
510,15,68989.0,20,12,40,1,600.0
2958,15,201545.0,140,77,1,1,0.0
102,15,25565.0,185,4,4,36,1200.0
1291,15,31104.0,29,32,9,37,1400.0
4683,15,223455.0,185,118,4,37,1200.0
4099,15,333577.0,42,106,17,1,779.0
852,12,254194.0,153,49,28,38,0.0
2108,12,241501.0,15,113,34,39,0.0
1821,15,30127.0,187,47,4,39,0.0
2928,15,125435.0,102,77,1,1,1200.0
3654,15,51319.0,97,95,43,1,1200.0
4070,15,76282.0,40,105,9,38,1180.0
2860,16,354773.0,135,54,16,39,1190.0
2386,15,135609.0,93,62,48,38,1200.0
2998,15,230740.0,177,79,44,39,1190.0
1044,15,46486.0,185,27,4,36,0.0
3225,1,158590.0,138,89,9,2,3315.0
2489,13,286978.0,35,32,9,0,400.0
279,15,211066.0,6,8,22,36,1200.0
2047,3,71939.0,17,70,38,39,1200.0
4812,15,60159.0,185,120,4,36,0.0
2065,15,166468.0,135,54,16,51,2400.0
1810,1,97938.0,33,9,34,22,1200.0
48,15,91667.0,6,2,22,38,1200.0
2625,0,103475.0,128,40,43,38,1200.0
661,1,87954.0,104,41,24,1,1200.0
342,15,307515.0,24,9,46,34,1190.0
1980,15,60854.0,5,52,38,22,1200.0
3057,15,167132.0,191,83,47,39,1200.0
2666,15,3540.0,97,71,43,1,1200.0
2073,15,69667.0,135,54,16,37,901.0
1039,15,111317.0,182,27,4,34,1000.0
3900,15,252271.0,185,102,4,34,0.0
1246,15,178820.0,49,32,9,37,0.0
3835,15,242082.0,87,101,24,39,1103.0
2970,15,493646.0,119,78,17,7,1200.0
1329,15,383091.0,88,34,14,51,0.0
3860,15,25043.0,133,101,14,39,0.0
4710,15,275375.0,6,119,22,36,600.0
3078,15,18228.0,2,84,31,20,1166.0
4354,15,178134.0,2,111,34,21,0.0
3133,0,157184.0,97,71,43,23,801.0
2508,15,437167.0,152,65,29,36,16598.0
685,15,0.0,113,15,43,39,0.0
3843,15,113715.0,87,101,24,38,1200.0
1136,15,370999.0,85,31,16,38,1200.0
3333,15,182499.0,31,89,9,2,617.0
3110,15,2053.0,2,84,31,20,1400.0
3776,15,234786.0,102,99,1,1,1200.0
2165,1,139974.0,8,12,40,1,671.0
4463,15,137221.0,9,113,38,38,1200.0
2674,15,136274.0,97,71,43,25,1200.0
715,15,177438.0,2,16,34,20,0.0
3738,15,255438.0,138,98,25,1,0.0
1841,15,128739.0,2,48,34,14,1200.0
1171,15,253200.0,84,31,24,2,1200.0
4042,15,59103.0,40,105,9,38,1166.0
4454,15,328047.0,15,113,34,37,3080.0
2175,15,214417.0,120,56,36,39,1200.0
1859,15,301539.0,134,49,23,38,0.0
239,15,48466.0,94,7,43,1,0.0
4557,0,159282.0,139,114,26,39,590.0
1934,15,183537.0,25,51,10,2,1200.0
